fr,tq,tx,dq,dx,x
17790.0,100.41798948527791,100.57931758221903,0.00019850379762213083,0.00019485089946908837,-236.39608170833418
17795.0,100.53023500109119,100.6915408091989,0.00019595508777511868,0.0001923495849691817,-242.34657070728542
17800.0,100.64261726884908,100.80390081357764,0.00019343605683914812,0.00018987738997886517,-253.34046031255576
17805.0,100.75513645978852,100.91639776495045,0.00019094639833268866,0.00018743401393534576,-239.82835763601145
17810.0,100.8677927228679,101.02903181063571,0.0001884858089669487,0.00018501915940439905,-235.4836266472886
17815.0,100.980586184769,101.14180307567747,0.0001860539885953894,0.00018263253203090087,-232.70439328624633
17820.0,101.09351694990723,101.2547116628566,0.0001836506401642495,0.00018027384049035012,-234.4718401721122
17825.0,101.2065851004527,101.36775765271237,0.00018127546966403398,0.00017794279644133752,-241.14536172838967
17830.0,101.3197906963614,101.4809411035745,0.00017892818608196079,0.00017563911447895358,-241.13403145622323
17835.0,101.43313377541594,101.59426205160453,0.00017660850135537705,0.00017336251208914738,-234.77239327586904
17840.0,101.54661435327614,101.70772051084711,0.00017431613032612846,0.0001711127096040201,-232.1526300418492
17845.0,101.6602324235401,101.82131647329172,0.00017205079069585645,0.00016888943015802896,-232.96657052768649
17850.0,101.77398795781426,101.93504990894353,0.00016981220298224582,0.00016669239964512228,-237.28436048333157
17855.0,101.88788090579384,102.04892076590441,0.00016760009047618653,0.00016452134667677184,-243.8573091300389
17860.0,102.00191119535228,102.16292897046316,0.00016541417919986286,0.00016237600254091446,-232.78182101622184
17865.0,102.11607873264114,102.27707442719591,0.00016325419786573404,0.00016025610116176747,-227.6842020565192
17870.0,102.23038340219937,102.39135701907627,0.00016111987783641363,0.00015816137906052576,-227.7372002204338
17875.0,102.34482506707073,102.50577660759323,0.00015901095308545958,0.0001560915753169517,-227.01739138114385
17880.0,102.45940356893321,102.62033303288138,0.00015692716015899401,0.00015404643153177884,-239.61950172310964
17885.0,102.57411872823567,102.73502611385807,0.00015486823813822524,0.00015202569179,-227.00132006775334
17890.0,102.68897034434488,102.84985564837123,0.00015283392860280268,0.00015002910262497217,-221.2243495936898
17895.0,102.80395819570123,102.96482141335562,0.00015082397559502652,0.0001480564129833596,-217.06481900513717
17900.0,102.91908203998447,103.07992316499926,0.000148838125584869,0.00014610737419087252,-214.87694697113892
17905.0,103.03434161428818,103.19516063891852,0.00014687612743582358,0.0001441817399188174,-213.6787476492966
17910.0,103.14973663530238,103.31053355034135,0.00014493773237157513,0.00014227926615145275,-213.6323286499454
17915.0,103.26526679950729,103.42604159430167,0.0001430226939434253,0.0001403997111540846,-214.49023262652213
17920.0,103.38093178337408,103.54168444584073,0.00014113076799853537,0.00013854283544196397,-216.70485771424177
17925.0,103.49673124357591,103.6574617602188,0.0001392617126489105,0.00013670840174991088,-220.28602057804324
17930.0,103.61266481720604,103.77337317313378,0.00013741528824117062,0.00013489617500270972,-226.52632662601292
17935.0,103.72873212200703,103.88941830095115,0.00013559125732702426,0.0001331059222861936,-232.32702039512776
17940.0,103.84493275660724,104.00559674094093,0.000133789384634496,0.00013133741281906778,-225.6395214654018
17945.0,103.96126630076503,104.12190807152254,0.00013200943703988282,0.0001295904179254471,-226.0495379676952
17950.0,104.07773231562389,104.2383518525205,0.00013025118354037716,0.00012786471100804768,-227.40338269800355
17955.0,104.19433034397429,104.35492762542684,0.0001285143952274079,0.0001261600675220815,-231.45643600193188
17960.0,104.31105991052388,104.47163491367189,0.00012679884526065722,0.0001244762649498144,-243.00712760484652
17965.0,104.42792052217676,104.58847322290411,0.00012510430884273008,0.0001228130827757632,-238.99820837779555
17970.0,104.54491166832076,104.7054420412779,0.0001234305631944765,0.0001211703024625327,-232.18569389641073
17975.0,104.66203282112284,104.82254083974959,0.00012177738753095251,0.00011954770742727907,-231.08183048920984
17980.0,104.77928343583129,104.93976907238013,0.0001201445630380193,0.00011794508301879828,-231.92642648480074
17985.0,104.89666295108827,105.05712617664825,0.00011853187284952132,0.00011636221649518236,-235.96325773547755
17990.0,105.01417078924848,105.1746115737696,0.00011693910202508452,0.0001147988970020832,-246.23716981691962
17995.0,105.13180635670528,105.29222466902333,0.00011536603752850149,0.00011325491555155163,-237.48279979416276
18000.0,105.24956904422574,105.40996485208781,0.00011381246820667017,0.00011173006500141909,-234.4896402970872
18005.0,105.3674582272925,105.52783149738289,0.0001122781847690986,0.0001102241400352339,-236.04616088708792
18010.0,105.48547326645345,105.64582396442003,0.00011076297976795039,0.00010873693714272747,-238.28595470999153
18015.0,105.60361350767725,105.76394159815845,0.00010926664757863708,0.00010726825460081653,-262.4697799107055
18020.0,105.72187828271848,105.8821837293707,0.00010778898438089913,0.00010581789245508396,-242.48978406702344
18025.0,105.84026690948832,106.00054967501369,0.00010632978814041119,0.00010438565250177367,-236.63689269553402
18030.0,105.95877869243171,106.11903873860652,0.00010488885859088425,0.00010297133827027194,-235.8100733814104
18035.0,106.07741292291266,106.23765021061611,0.00010346599721663048,0.00010157475500604268,-237.93977891238848
18040.0,106.19616887960578,106.3563833688492,0.00010206100723560145,0.00010019570965402585,-246.1654991233936
18045.0,106.31504582889393,106.47523747885043,0.00010067369358288325,9.883401084248407e-05,-251.6296051588048
18050.0,106.43404302527243,106.59421179430699,9.930386289463246e-05,9.748946886728084e-05,-237.88797905319223
18055.0,106.55315971176007,106.71330555746005,9.79513234924341e-05,9.616189567657241e-05,-237.00229311860141
18060.0,106.672395120316,106.83251799952198,9.661588536807941e-05,9.485110485591057e-05,-239.38198654498706
18065.0,106.79174847226174,106.95184834109887,9.529736016875638e-05,9.35569116137502e-05,-241.36048799314767
